label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
0,0.0,0.0,0.0,-0.355226,-0.047191,-0.057417,-0.592829,-0.186885,-0.130321,-0.787643,-0.246141,-0.21427,-0.86229,-0.348037,-0.294357,-0.28852,-0.854366,-0.040939,-0.627524,-0.969017,-0.137213,-0.792504,-0.776523,-0.2261,-0.859541,-0.567801,-0.278756,-0.254899,-0.84989,-0.066918,-0.687591,-1.0,-0.147781,-0.845844,-0.757869,-0.206902,-0.853487,-0.527188,-0.242452,-0.243135,-0.782002,-0.104368,-0.622048,-0.927982,-0.181821,-0.798623,-0.723892,-0.206534,-0.830735,-0.505275,-0.21133,-0.269432,-0.647498,-0.148307,-0.566292,-0.794518,-0.216249,-0.715191,-0.6748,-0.223052,-0.764165,-0.500063,-0.211937
0,0.0,0.0,0.0,-0.357275,-0.040777,-0.061862,-0.60298,-0.187031,-0.129887,-0.801425,-0.240324,-0.207182,-0.886133,-0.334766,-0.279679,-0.289236,-0.86626,-0.035499,-0.632318,-0.968536,-0.131561,-0.808597,-0.785739,-0.220844,-0.886284,-0.573268,-0.273219,-0.25903,-0.863245,-0.058235,-0.695878,-1.0,-0.135924,-0.864184,-0.764462,-0.194456,-0.883678,-0.529316,-0.229327,-0.246822,-0.797074,-0.093861,-0.635511,-0.93541,-0.168893,-0.819942,-0.732318,-0.194903,-0.860064,-0.510193,-0.200475,-0.272147,-0.661187,-0.136817,-0.581144,-0.787522,-0.204808,-0.734449,-0.669487,-0.212886,-0.787671,-0.493573,-0.201522
0,0.0,0.0,0.0,-0.350471,-0.045101,-0.066813,-0.585856,-0.189724,-0.139443,-0.775077,-0.236439,-0.220862,-0.863878,-0.321052,-0.296471,-0.276854,-0.856404,-0.049187,-0.618229,-0.975719,-0.151702,-0.790066,-0.790865,-0.243713,-0.856622,-0.580554,-0.297794,-0.242924,-0.855511,-0.072163,-0.674224,-1.0,-0.160406,-0.839234,-0.765721,-0.22106,-0.850188,-0.539403,-0.256711,-0.230759,-0.793485,-0.108391,-0.613823,-0.943926,-0.193405,-0.795505,-0.745555,-0.220448,-0.826694,-0.526523,-0.226013,-0.2588,-0.66393,-0.152098,-0.556748,-0.799991,-0.226878,-0.708034,-0.679731,-0.237037,-0.754852,-0.50182,-0.227517
0,0.0,0.0,0.0,-0.359399,-0.053057,-0.049287,-0.60077,-0.198658,-0.118171,-0.798015,-0.246077,-0.199539,-0.867958,-0.329099,-0.277922,-0.280524,-0.85392,-0.03362,-0.612133,-0.980577,-0.125548,-0.793491,-0.806587,-0.214127,-0.87634,-0.608434,-0.269793,-0.246695,-0.846503,-0.064537,-0.669684,-1.0,-0.142865,-0.844994,-0.776851,-0.205908,-0.87123,-0.563285,-0.248168,-0.238935,-0.776879,-0.106165,-0.613148,-0.942761,-0.18158,-0.797918,-0.747217,-0.210639,-0.83991,-0.533328,-0.222316,-0.272986,-0.640271,-0.153226,-0.565854,-0.792752,-0.219789,-0.713825,-0.675954,-0.228702,-0.764924,-0.504301,-0.222334
0,0.0,0.0,0.0,-0.357066,-0.035803,-0.05606,-0.596508,-0.177756,-0.123579,-0.787387,-0.22732,-0.201973,-0.878141,-0.326441,-0.276854,-0.29238,-0.839678,-0.049124,-0.621117,-0.970068,-0.145814,-0.791974,-0.794653,-0.232097,-0.859043,-0.587522,-0.283016,-0.249563,-0.840969,-0.076077,-0.66171,-1.0,-0.154677,-0.834808,-0.784353,-0.210905,-0.856929,-0.560635,-0.246693,-0.232025,-0.779009,-0.114931,-0.609892,-0.938991,-0.19235,-0.792469,-0.741016,-0.219692,-0.827754,-0.518594,-0.229031,-0.258497,-0.649098,-0.160281,-0.555619,-0.788116,-0.233964,-0.710075,-0.66806,-0.246919,-0.763636,-0.488544,-0.241272
0,0.0,0.0,0.0,-0.343478,-0.049516,-0.084357,-0.593383,-0.19127,-0.17056,-0.795826,-0.252857,-0.258517,-0.850135,-0.346286,-0.340838,-0.251807,-0.858802,-0.084837,-0.593848,-0.990352,-0.182108,-0.773214,-0.817123,-0.271422,-0.851051,-0.611693,-0.327217,-0.225486,-0.843109,-0.094083,-0.665413,-1.0,-0.17528,-0.825747,-0.78317,-0.236889,-0.837605,-0.561758,-0.278836,-0.218938,-0.76876,-0.114064,-0.60047,-0.928203,-0.184732,-0.778637,-0.753816,-0.209148,-0.817148,-0.547564,-0.220028,-0.251177,-0.628442,-0.142299,-0.55098,-0.760578,-0.206327,-0.697991,-0.651141,-0.215467,-0.75004,-0.48272,-0.209136
0,0.0,0.0,0.0,-0.38552,-0.0474,-0.030674,-0.630765,-0.209048,-0.08999,-0.823109,-0.27211,-0.164371,-0.929933,-0.356786,-0.239027,-0.33817,-0.888535,-0.042439,-0.706204,-0.993909,-0.13098,-0.885519,-0.805507,-0.210888,-0.948208,-0.600006,-0.258563,-0.310584,-0.869796,-0.079231,-0.755138,-1.0,-0.14989,-0.925206,-0.761534,-0.196551,-0.93254,-0.542765,-0.228959,-0.321078,-0.778586,-0.124029,-0.731969,-0.937204,-0.199824,-0.900093,-0.718989,-0.218018,-0.912037,-0.494344,-0.221765,-0.374855,-0.623561,-0.171626,-0.690198,-0.798072,-0.239964,-0.829392,-0.679782,-0.241193,-0.860061,-0.496524,-0.228254
0,0.0,0.0,0.0,-0.342741,0.004984,-0.051689,-0.59482,-0.102718,-0.112253,-0.80313,-0.12983,-0.179677,-0.955676,-0.206305,-0.247997,-0.440369,-0.836524,-0.060987,-0.820157,-0.853172,-0.138661,-0.967225,-0.645001,-0.210405,-0.993964,-0.449238,-0.254249,-0.426402,-0.830556,-0.084466,-0.850762,-0.875891,-0.139334,-0.985619,-0.646813,-0.186946,-1.0,-0.435436,-0.223531,-0.452014,-0.737135,-0.114629,-0.864333,-0.824258,-0.175938,-0.987972,-0.610894,-0.194336,-0.994382,-0.403621,-0.203743,-0.509697,-0.573069,-0.148957,-0.838723,-0.686764,-0.210359,-0.949019,-0.569614,-0.209437,-0.970807,-0.410285,-0.197153
0,0.0,0.0,0.0,-0.354688,0.097475,-0.056492,-0.588509,0.035005,-0.115847,-0.777718,0.020726,-0.18335,-0.925639,-0.053206,-0.254869,-0.459651,-0.729959,-0.072115,-0.838875,-0.734043,-0.150824,-0.962327,-0.51996,-0.216589,-0.976151,-0.316909,-0.252043,-0.445782,-0.75294,-0.092389,-0.871232,-0.759766,-0.156098,-0.979425,-0.500873,-0.208726,-0.972907,-0.275183,-0.243309,-0.468689,-0.678834,-0.118981,-0.902807,-0.69085,-0.201467,-1.0,-0.419109,-0.240846,-0.980197,-0.184762,-0.257039,-0.531805,-0.520977,-0.147615,-0.87657,-0.566442,-0.225059,-0.962301,-0.39301,-0.237611,-0.956255,-0.193724,-0.232465
0,0.0,0.0,0.0,-0.345404,0.074102,-0.036481,-0.57857,0.015619,-0.094157,-0.770903,0.022077,-0.166627,-0.92047,-0.032883,-0.246181,-0.455649,-0.743426,-0.049029,-0.83689,-0.722949,-0.127312,-0.957049,-0.506848,-0.199212,-0.968874,-0.303305,-0.242167,-0.452073,-0.753669,-0.085743,-0.882748,-0.744554,-0.149008,-0.981315,-0.479592,-0.206512,-0.967302,-0.255907,-0.247664,-0.479373,-0.668801,-0.12842,-0.915253,-0.684809,-0.214674,-1.0,-0.407837,-0.258266,-0.971917,-0.173613,-0.278708,-0.539368,-0.506689,-0.171647,-0.880371,-0.568413,-0.256461,-0.950811,-0.394521,-0.271722,-0.93279,-0.196756,-0.269275
0,0.0,0.0,0.0,-0.362333,0.065251,-0.045454,-0.596317,-0.008538,-0.10668,-0.776617,-0.026876,-0.178573,-0.897727,-0.106639,-0.257574,-0.465519,-0.734159,-0.084255,-0.840902,-0.740431,-0.165659,-0.972793,-0.518665,-0.233065,-1.0,-0.310796,-0.271728,-0.435599,-0.75129,-0.112745,-0.87296,-0.750821,-0.183867,-0.984637,-0.476574,-0.237044,-0.976278,-0.251192,-0.27361,-0.442721,-0.672078,-0.145259,-0.877831,-0.69715,-0.235188,-0.973138,-0.425025,-0.271497,-0.949806,-0.190079,-0.285505,-0.492075,-0.518601,-0.178004,-0.828428,-0.587876,-0.263454,-0.913108,-0.427434,-0.275198,-0.910086,-0.236465,-0.269108
0,0.0,0.0,0.0,-0.405118,0.045356,-0.046866,-0.650578,-0.071805,-0.109875,-0.843103,-0.115987,-0.188358,-0.959064,-0.224435,-0.267133,-0.449409,-0.85258,-0.040739,-0.807532,-0.921038,-0.132572,-0.96168,-0.694598,-0.218032,-1.0,-0.470832,-0.269231,-0.415981,-0.870407,-0.073798,-0.845637,-0.95205,-0.151838,-0.994217,-0.683067,-0.213016,-0.998324,-0.445601,-0.253473,-0.421109,-0.797527,-0.116689,-0.849291,-0.906509,-0.214453,-0.989824,-0.629177,-0.25025,-0.983588,-0.370757,-0.260835,-0.47767,-0.648469,-0.162303,-0.821681,-0.779185,-0.250406,-0.943471,-0.61531,-0.26113,-0.957935,-0.399178,-0.252532
0,0.0,0.0,0.0,-0.394766,0.062188,-0.043431,-0.63914,-0.046565,-0.099432,-0.823623,-0.093865,-0.171667,-0.934676,-0.210761,-0.243691,-0.462467,-0.818271,-0.024179,-0.813337,-0.864594,-0.110089,-0.960225,-0.645052,-0.192432,-0.999495,-0.429837,-0.241647,-0.424378,-0.844861,-0.058068,-0.844304,-0.906206,-0.128691,-0.988552,-0.647565,-0.189508,-1.0,-0.418545,-0.230683,-0.42124,-0.777992,-0.102273,-0.839733,-0.86425,-0.192424,-0.976818,-0.589172,-0.227683,-0.973917,-0.339226,-0.239306,-0.467716,-0.631389,-0.149689,-0.806997,-0.746299,-0.234256,-0.933714,-0.584056,-0.245953,-0.954927,-0.374958,-0.23856
0,0.0,0.0,0.0,-0.390237,0.048312,-0.041675,-0.644972,-0.070026,-0.102468,-0.826789,-0.109177,-0.179824,-0.920411,-0.222246,-0.257776,-0.436906,-0.851922,-0.033223,-0.803692,-0.87735,-0.133772,-0.957539,-0.651664,-0.227422,-1.0,-0.423638,-0.282187,-0.396522,-0.869145,-0.072308,-0.849152,-0.9053,-0.161133,-0.992747,-0.628462,-0.229735,-0.991972,-0.386415,-0.272292,-0.393779,-0.799897,-0.121732,-0.838539,-0.873995,-0.223276,-0.976425,-0.587746,-0.258196,-0.964142,-0.330896,-0.266359,-0.441509,-0.651222,-0.173963,-0.79437,-0.764392,-0.266207,-0.916707,-0.589602,-0.275665,-0.925153,-0.37314,-0.263685
0,0.0,0.0,0.0,-0.384571,0.048728,-0.041315,-0.638359,-0.057671,-0.101718,-0.824401,-0.089661,-0.178608,-0.919436,-0.184608,-0.256377,-0.437209,-0.841957,-0.026428,-0.79505,-0.867637,-0.116899,-0.950138,-0.646589,-0.20415,-1.0,-0.425073,-0.256144,-0.40096,-0.858325,-0.063031,-0.842681,-0.896072,-0.141478,-0.986598,-0.623639,-0.205575,-0.993488,-0.387931,-0.24668,-0.401465,-0.789593,-0.109023,-0.83013,-0.861367,-0.202545,-0.966266,-0.578777,-0.236304,-0.961008,-0.325785,-0.24488,-0.452437,-0.645552,-0.157862,-0.796667,-0.756097,-0.242515,-0.917239,-0.585185,-0.248995,-0.932304,-0.375121,-0.23594
0,0.0,0.0,0.0,-0.390434,0.042854,-0.047137,-0.653593,-0.066663,-0.113514,-0.84597,-0.11267,-0.196026,-0.930395,-0.241263,-0.277797,-0.433953,-0.851897,-0.028805,-0.78853,-0.890049,-0.124897,-0.947247,-0.670556,-0.216846,-1.0,-0.441541,-0.27226,-0.396534,-0.868942,-0.065479,-0.84638,-0.916155,-0.152771,-0.99318,-0.641877,-0.2238,-0.99598,-0.400479,-0.268386,-0.395362,-0.801154,-0.112562,-0.831831,-0.888644,-0.209676,-0.979982,-0.607655,-0.243113,-0.979097,-0.351946,-0.250996,-0.442447,-0.653335,-0.163205,-0.793198,-0.776025,-0.250357,-0.92422,-0.610547,-0.257089,-0.943813,-0.400454,-0.243337
0,0.0,0.0,0.0,-0.396758,0.051293,-0.043529,-0.659938,-0.061241,-0.106202,-0.855271,-0.115951,-0.186193,-0.937162,-0.24792,-0.265291,-0.426037,-0.872091,-0.017004,-0.790855,-0.913776,-0.106707,-0.949748,-0.687965,-0.195125,-1.0,-0.454638,-0.249152,-0.388387,-0.888744,-0.054241,-0.847022,-0.936971,-0.134662,-0.995425,-0.661419,-0.203005,-0.999271,-0.417706,-0.247366,-0.393672,-0.81931,-0.102025,-0.837816,-0.901829,-0.195366,-0.981055,-0.612022,-0.230001,-0.976357,-0.353053,-0.239975,-0.45148,-0.66896,-0.153269,-0.810375,-0.786267,-0.240172,-0.937152,-0.607469,-0.249565,-0.954176,-0.389507,-0.238293
0,0.0,0.0,0.0,-0.397954,0.046965,-0.029131,-0.657165,-0.069818,-0.08464,-0.847019,-0.120807,-0.161359,-0.94046,-0.255527,-0.238087,-0.460908,-0.848799,0.001883,-0.798232,-0.878179,-0.087605,-0.949686,-0.662172,-0.175343,-1.0,-0.437354,-0.226894,-0.41309,-0.874523,-0.043698,-0.839418,-0.910415,-0.116527,-0.986472,-0.64427,-0.17839,-0.996467,-0.409167,-0.217593,-0.396983,-0.814549,-0.10045,-0.816321,-0.882688,-0.184548,-0.963565,-0.606465,-0.21129,-0.96806,-0.357172,-0.216332,-0.426762,-0.671017,-0.160985,-0.770715,-0.784702,-0.239113,-0.906669,-0.623286,-0.242215,-0.937283,-0.414884,-0.22656
0,0.0,0.0,0.0,-0.345886,0.04696,-0.069459,-0.589216,-0.037381,-0.147724,-0.783518,-0.040942,-0.234556,-0.905964,-0.126828,-0.320222,-0.400087,-0.795353,-0.069475,-0.718279,-0.876246,-0.183217,-0.899368,-0.705109,-0.279188,-1.0,-0.487697,-0.330027,-0.376277,-0.787414,-0.088363,-0.793256,-0.874688,-0.177942,-0.952497,-0.643417,-0.246428,-0.978951,-0.419111,-0.287132,-0.369686,-0.706406,-0.119358,-0.745396,-0.808674,-0.200691,-0.915893,-0.59332,-0.23929,-0.959507,-0.371062,-0.252632,-0.396644,-0.554688,-0.156616,-0.690556,-0.66991,-0.219283,-0.830208,-0.548542,-0.230603,-0.879619,-0.375597,-0.223516
0,0.0,0.0,0.0,-0.361998,0.051672,-0.070097,-0.622168,-0.047077,-0.144785,-0.823806,-0.059454,-0.225482,-0.927559,-0.151068,-0.303301,-0.396812,-0.816416,-0.066569,-0.738673,-0.856921,-0.166706,-0.912293,-0.668068,-0.257492,-1.0,-0.44675,-0.310264,-0.377771,-0.806547,-0.086172,-0.82346,-0.873169,-0.167472,-0.967135,-0.633696,-0.233263,-0.984586,-0.407065,-0.275148,-0.378456,-0.724916,-0.116408,-0.777374,-0.812614,-0.191407,-0.936707,-0.591573,-0.223822,-0.972895,-0.372636,-0.236397,-0.414423,-0.568981,-0.153141,-0.730268,-0.675234,-0.216707,-0.868775,-0.541057,-0.223918,-0.917111,-0.360747,-0.214774
0,0.0,0.0,0.0,-0.37061,0.039178,-0.042684,-0.627345,-0.061469,-0.108129,-0.819203,-0.070044,-0.188679,-0.910316,-0.147836,-0.268613,-0.413036,-0.838546,-0.027669,-0.758775,-0.848873,-0.122927,-0.926022,-0.642239,-0.21478,-1.0,-0.416513,-0.270452,-0.38372,-0.837425,-0.064895,-0.829364,-0.857634,-0.143879,-0.975598,-0.596266,-0.209509,-0.985633,-0.363981,-0.252604,-0.380176,-0.761801,-0.112162,-0.797841,-0.818978,-0.190735,-0.946606,-0.565384,-0.218591,-0.958053,-0.328581,-0.227575,-0.415283,-0.609202,-0.164436,-0.747132,-0.687163,-0.233501,-0.873166,-0.528511,-0.23637,-0.897104,-0.332386,-0.222841
0,0.0,0.0,0.0,-0.338921,0.018131,-0.052103,-0.618003,-0.079762,-0.121476,-0.830728,-0.102272,-0.199807,-0.883848,-0.190252,-0.273293,-0.39646,-0.845725,-0.028456,-0.750541,-0.84759,-0.117191,-0.915868,-0.645079,-0.20479,-1.0,-0.414852,-0.258494,-0.38233,-0.833935,-0.055307,-0.853855,-0.841322,-0.134457,-0.972687,-0.587463,-0.203532,-0.97189,-0.352281,-0.246255,-0.385296,-0.760415,-0.090418,-0.802653,-0.812311,-0.163101,-0.934503,-0.569532,-0.188327,-0.948626,-0.33518,-0.192933,-0.420099,-0.613708,-0.130611,-0.760916,-0.687139,-0.195783,-0.87153,-0.531908,-0.194969,-0.892208,-0.346403,-0.175631
0,0.0,0.0,0.0,-0.356112,0.029441,-0.05239,-0.626476,-0.068944,-0.122449,-0.827869,-0.090556,-0.204862,-0.893231,-0.179665,-0.285552,-0.3928,-0.847939,-0.031013,-0.744901,-0.860507,-0.129268,-0.916977,-0.656008,-0.221648,-1.0,-0.425646,-0.276507,-0.369324,-0.840491,-0.061513,-0.832877,-0.85806,-0.155508,-0.972622,-0.58633,-0.231471,-0.978737,-0.341179,-0.275921,-0.371775,-0.767521,-0.101618,-0.795829,-0.820254,-0.195109,-0.938878,-0.555243,-0.232294,-0.947699,-0.307205,-0.240247,-0.414387,-0.622242,-0.145696,-0.757419,-0.698729,-0.226526,-0.870544,-0.531957,-0.234434,-0.882275,-0.334808,-0.219245
